ingredient	target
1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline	PDE4B|PDE4D|PDE10A|PDE5A|PDE1B|PDE3B|PDE7B|PDE11A|PDE1A|PDE1C|PDE2A|PDE3A|PDE4A|PDE4C|PDE7A|PDE8A|PDE8B|ADM
4-chlorophenol	SCN4A
(7R,11R)-3,7,11,15-tetramethylhexadecanoic acid	RXRA|SCP2
[(1R,2S,3S,5S,6R,8S)-6-hydroxy-8-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9,10-dioxatetracyclo[4.3.1.02,5.03,8]decan-2-yl]methyl benzoate	IGF1|SNCA|HIF1A|TLR2|PTGS2|MIR29B1|TNF|ALB|VEGFA|SOCS3|MMP9|APP
4-(6-hydroxy-3-methyl-1-benzofuran-2-yl)-5-methoxy-6-(3-methylbut-2-enyl)benzene-1,3-diol	PTPN1
2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one	ACE|AHR|GPR35|TOP2A|CYP1A1|SRD5A1
5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione	GRIK2|GABRA1|GRIN3A|GRIN2C|CHRNA4|GRIN2D|GRIN3B|GRIN2A|GRIA2|CHRFAM7A|NR1I2|CHRNA7|GRIN1|GRIN2B|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ
3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one	SLC2A2|SREBF1|SLC2A1|TLR2|PTGS2|SLC16A1|SLC23A2|SLC23A1|ICAM1|HMOX1|AKT1|MTOR|JAK2|KDR|STAT3
[(3R,4aR,5S,6S,6aS,10S,10aR,10bS)-3-ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-5,6,6a,8,9,10-hexahydro-2H-benzo[f]chromen-5-yl] acetate	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|ADCY10|PCK1|G6PC
[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] acetate	CYP2J2
5,8-dihydroxy-2-[(1R)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione	CASP1|MAPK3|AKT1|PKM|LY96|PIGK|HIF1A|BAX|ARNTL|EGFR|TXNRD1|HSPA4|CES2|SERPINE1|MAPK1|RIPK3|MLKL|RIPK1|CYLD|HK2|TLR4|BCL2|TGFB1|CASP3|PARP1|CASP9|NKX3-1|HMGB1|MMP2|MMP9|MMP14|SNAI2|Cyp2b10|TP53|CCL5|CCL4|NFKB1|MIR7-3HG|MAPK8
(3S,4R,6R)-4-bromo-10-chloro-5,5,9-trimethyl-1-methylidenespiro[5.5]undec-9-en-3-ol	EIF4A1
(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one	CYP2C9|CYP2C19|CYP1A2
2-methyl-3-(3,7,11,15-tetramethylhexadec-2-enyl)naphthalene-1,4-dione	SPP1
piperazine	GABRB3
potassium;chloride	SLC12A4|SLC12A1|SLC12A5|SLC12A2|SLC12A7|SLC12A6
4-[3-(4-butoxyphenoxy)propyl]morpholine	SCN9A|SCN1A|SCN10A|SCN11A|SCN2A|SCN5A|SCN3A|SCN8A|SCN7A|SCN4A
2-(diethylamino)ethyl 4-aminobenzoate	GSK3B|PLA2G1B|CASP12|CATSPER1
7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4-dione	RFK|BLVRB|RIT1|HSPB1|RBP4|CYP3A4
(2-propan-2-yloxyphenyl) N-methylcarbamate	VDAC1
1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol	GSK3B|LEP|ADRB1|KCNMB1|ADRB2|HTR1A|CYP2D6|CYP2B7P|ARC|KITLG|HMGB1|CRH|MYD88|VEGFA|IL2|BCL2|MTOR
propyl 3,4,5-trihydroxybenzoate	AOX1|PTGS2|COL18A1
15-methyl-7,9,19,21-tetraoxa-15-azapentacyclo[15.7.0.04,12.06,10.018,22]tetracosa-1(17),4,6(10),11,18(22),23-hexaen-3-one	BCL2|MCL1|CDK1|DRD2
5-oxopyrrolidine-2-carboxylic acid	CTBP2|MIR34A|HOTTIP|TGFB1|MIR133B|NPEPPS|AR|MAOA|TXN|PTGS2|CDKN2A|NFATC1|ALDH1A3|GPR137|GNRH1
2-[2-(4-benzo[b][1,4]benzothiazepin-6-ylpiperazin-1-yl)ethoxy]ethanol	DRD2|RPS6KA1|SOD1|FOS|MAPK14
1,2,5,8-tetrahydroxyanthracene-9,10-dione	CSNK2A1
[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]-[4-(2-piperidin-1-ylethoxy)phenyl]methanone	ESR1|TFF1|SERPINB9|ESR2
(2S)-7-hydroxy-2-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-2,3-dihydrochromen-4-one	AKR1C1
benzene-1,3-diol	TPO|TYR|HSP90AA1
9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	PNP
(3R,8R,9R,10S,13R,14R,17R)-17-[(E,2R,5R)-5-ethyl-6-methylhept-3-en-2-yl]-3,10,13-trimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene	NR1H2
7-hydroxy-2-(4-hydroxyphenyl)-5-methoxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one	ACHE|CYP2C8|ABCB1|NOTCH1|AKT1
3-[(S)-prop-2-enylsulfinyl]sulfanylprop-1-ene	PCNA|HMOX1|NFE2L2|VEGFA|CASP3|MAPK14
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	CASR|ABCC2
1,1-dioxo-1,2-benzothiazol-3-one	CA2|CA7|CA1
5-prop-2-enyl-1,3-benzodioxole	CYP1A2|BAX|CYCS|CASP3|CASP9
2-hydroxybenzamide	PTGS1|PTGS2
24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene	ATP1A1|ATP1A2|ATP1A3|ATP1B1|ATP1B2|ATP1B3|PRKAA1|DHFR|STAT3|SLC22A3|DUSP1|NFKB1|VEGFA|MMP7|AKT1|HIF1A|PIK3CA|PIK3CB|PIK3CD|PIK3CG|SNAI1|PIK3R1|EIF4A1|MIR16-2|CCND1|BCL2|TP53|PWAR4|ASAH1|PAWR|MAPK1|MAPK3|UGCG|MTOR|GSK3B|ATG5|MAP2K1
2-(2-hydroxybenzoyl)oxybenzoic acid	PTGS1|PTGS2
(1S,2R,8R,8aR)-1,2,3,5,6,7,8,8a-octahydroindolizine-1,2,8-triol	MYC|TP53|EGFR|BCL2|MAN2B1
sodium;benzoate	GADD45A|MAPK8|PDE4A|NFKB1|DAO
5-pentan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	GABRA6|CHRNA7|GRIN2B|GABRA5|GRIN1|GABRA3|GRIA2|CHRFAM7A|GRIN2A|GABRA2|GRIN3B|GABRA4|CHRNA4|GRIN2C|GRIN2D|GABRA1|GRIK2|GRIN3A|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ
3-(2-aminoethyl)-1H-indol-5-ol	KCNK2|MAPK3|PPARG|CAMP|TPH1|ICAM1|CCL2|STAT5A|ESR1|ADAM17|CDH1|S100B|AHR|IL17A|ADRA2B|YAP1|HTR3A|STAT5B|KDR|GNRH1|CYP1B1|POMC|CYP2D6|MAOA|AKT1|HTR1B|HTR1A|GRIA4|GDNF|HTR2A|MAPK1|PTHLH|SLC6A4|CYBB|PRL|CMAHP|HTR2C|EEF2|RUNX2|HTR2B|TERC|PTGS2|CXCL8|DRD2|CSN2|BCHE|TYR
5-[3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-1,3-benzodioxole	VCAM1|ICAM1
5,8-dihydroxy-2-(1-hydroxy-4-methylpent-3-enyl)naphthalene-1,4-dione	TP53|PPARG|CASP3|IL6|BAD|KDR|BCL2|AKT1|SREBF1|MAOA|IL4|FABP4|IL10|LPL|TEK|PKM|CCL5|CCL3|PCNA|CXCL8|GATA3|CCND1|NAT1|MAOB|GSK3A|PTK2|EGF|RIPK3|RIPK1|MLKL|MTA1|TGFB1|VEGFA|STAT3
1-[1-(4-chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine	SLC6A2|SLC6A3|SLC6A4
3,5,7-trihydroxy-2-[3-(4-hydroxy-3-methoxyphenyl)-2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]-2,3-dihydrochromen-4-one	TP53|OGT|NOS2|FAS|ESR2|PPARGC1A|SREBF1|AKT1|HDAC2|PIGK|HSP90AA1|EGFR|CXCR4|STAT3|INSIG1|PPARA|SIRT1|DNMT1|LRP6|PTGS2
17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthrene-3,11-dione	HSD11B2|EIF4E|FASN|CD69
sodium;[(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-methylamino]methanesulfonate	PTGS1
2-azaniumylacetate	HMGB1
5,7-dihydroxy-8-[5-(5-hydroxy-7-methoxy-4-oxochromen-2-yl)-2-methoxyphenyl]-2-(4-hydroxyphenyl)chromen-4-one	STAT3|STAT5B|STAT5A|PTGS2|PPARG|CEBPA|UGT1A1
7,8-dihydroxy-6-methoxychromen-2-one	CASP8|AKT1|BMP2|BMP4|TNF|CASP3|PTK2B|PLK4
4-methoxy-6-[(E)-2-phenylethenyl]pyran-2-one	MAPK14
2-(3,4-dimethoxyphenyl)-5,7-dihydroxy-6-methoxychromen-4-one	CCNB1|CDK1|TP53|MMP2|AKT1|MAPKAP1|CYP1A2|MMP9|MAPK8|PPARA|CCND1|NFKB1|CDK2|CYP2C9|CASP3|LTBP1|SMAD3|TGFB1|CEP290|IQCB1
(1R)-1-[[4-hydroxy-3-[[(1R)-6-methoxy-1-[(4-methoxyphenyl)methyl]-2-methyl-3,4-dihydro-1H-isoquinolin-7-yl]oxy]phenyl]methyl]-6-methoxy-2-methyl-3,4-dihydro-1H-isoquinolin-7-ol	P4HB|SOD1
(E,2S,3R)-2-aminooctadec-4-ene-1,3-diol	S1PR1|GPR3|SPHK1|ADRA2B|GSN|SKI|PRRT2
2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one	LPCAT1|LPCAT2|MMP2|TP53|MMP1|PTX3|XDH|HVCN1|HSPA4|BDNF|JUN|UGT1A9|ICAM1|INSR|CCL2|CASP9|NFKBIA|NR1I3|JAK2|ABCG2|GSTM1|GK|NOS3|BAX|MECP2|IL1A|PRKCA|ABCA1|CLDN4|SLPI|CREB1|MAP3K5|CYP1B1|ERN2|USP10|MAOA|IFNG|SULT1E1|NFE2L2|SPP1|MAPK1|HMOX1|MYC|RASSF1|ERBB2|NPEPPS|PIK3CB|LYN|CXCL10|KHK|CYP1A1|CDKN2A|RB1|CYP2E1|E2F1|PON1|EGR1|MAPK3|TOP2A|SCD|CHEK2|E2F2|PTEN|FOSL1|RELA|NRF1|EGF|THBS1|CDK1|TJP1|IL6|SLC2A4|NOS2|CEBPB|HSP90B2P|CAV1|HSPB1|PGP|COMT|PTGS1|NGF|CLDN5|GABRR3|BCL2|HSF1|NCF1|CTSD|FASN|HSP90AA1|IRF1|MPO|PLAU|HIF1A|EGFR|PRKCD|IL10|NR1I2|VEGFA|MLXIPL|MAPK14|PRKCB|ELK1|P2RX4|COL1A1|GCK|RUNX2|TNFRSF10B|NR1H3|VIM2P|SLC23A1|STAT1|ATF4|TYR|NKX3-1|AURKB|CAT|PRKAA1|BRCA1|TNF|PARP1|NFKB1|MTOR|CASP3|CYP3A4|EIF2S1|AXIN2|TXN|IL17A|SLC2A1|RAF1|GSTM2|VDR|MAPK8|SERPINE1|IL2|HK2|F3|AKT1|ADIPOQ|HNRNPA1|KDM1A|TOP1|STAT3|VCAM1|PTK2B|NQO1|ODC1|UQCRC1|BCL2L1|SIRT1|TGFB1|CD40LG|ACHE|LDLR|CXCL8|CTNNB1|MCL1|CRH|MUC5AC|BMP2|CCNB1|SELE|ERBB3|CYP1A2|SLC16A1|IL1B|PLAT|CDKN1A|NDUFV2|PRKAA2|CDH1|LEF1|XBP1|CASP8|AHR|AXIN1|DNAJC5|GAA|PTPN11|CRTC1|MMP9|APOE|GSK3B|F2|POR|VIM|IGFBP3|CHUK|TXNIP|CRP|CYP2C19|PPARA|HSPA5|AR|GSTP1|CYP2C8|PTGS2|CXCL2|CCND1|FOS|NLRP3|VTN|ACE2|CSF3|CSF2|CD274|TBK1|LGALS1|UGT1A3|UGT1A1|SNCA|PIK3CA|CPT1A|CD86|MRC1
3-[2-[[3-(2-carboxyethyl)-5-[(Z)-(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(Z)-(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid	TLR4|ALB|NOS2|UGT1A1|PPARA|TNF|MAPK1|NR3C1
4-hydroxyfuro[3,2-g]chromen-7-one	CYP3A4
5,7-dihydroxy-3-(4-methoxyphenyl)chromen-4-one	ATF3|MAP2K5|PPARG|AGTR1|FAAH|NAMPT|MAP3K11|BAX|HSPA4|BGLAP|PPARA|PTK2B|CD86|SH3GL1
7-hydroxy-3-(4-methoxyphenyl)chromen-4-one	SIRT1|FGFR2|USP5|AKT1|ESR2|ABCB1|PTGR1|NLRP3|CASP3
2-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium	HIF1A|MTOR|ATG5|BECN1|MAP1LC3A
(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol	PPARA
5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	GSK3B|HSF1|CKB|PTPN1|ACHE|GRIN1|MAPK7|RELA|CASP3|SLC12A2|TJP1
5,7-dihydroxy-2-(4-methoxyphenyl)chromen-4-one	TP53|RARG|NFKB1|RELA|CDKN1A|CASP3|NFKBIA|CASP8|NOS2|TNFRSF10A|BAX|UGT1A1|BCL2|FASN|AKT1|FASLG|MYC|PTGS2|CYP1A1|CTNNB1|CYP19A1|HTR1A|KCNA5
5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	TP53|MMP1|CYCS|HSPA4|HSD11B1|ROS1|JUN|ICAM1|INSR|CASP9|NFKBIA|JAK2|TNFRSF10A|MDM2|FAS|BAX|SLC25A5|CD38|CYP21A2|TLR4|CYP17A1|IKBKG|IFNG|MAPK1|HMOX1|MYC|CDKN2A|RB1|CDK6|CYP19A1|C5AR1|ALPI|PPARG|CCNE1|SCD|RELA|HDAC1|CDK1|XIAP|SLC2A4|NOS2|IL6|KAT2B|BCL2|HIF1A|PLAU|FABP4|IL10|APC|VEGFA|MAPK14|TNFRSF10B|HSD17B2|IGF1R|SNAI1|TNF|NFKB1|INS|CASP3|CDK2|HNRNPA2B1|SLC2A1|AAGAB|BAD|SERPINE1|CDK9|CDK4|GSTO1|AKT1|MIR15B|DPP4|PIGK|OLR1|AXL|RPS9|ODC1|BCL2L1|CD40LG|HSD17B7|CD274|CXCL8|MCL1|MUC5AC|CCNB1|CDKN1A|ESR1|ACACA|SLC5A5|FXYD2|CCND2|CCNA2|GSK3B|SRC|IL4|CFLAR|CXCR4|CDKN2C|CHUK|PPARA|GDF15|AR|PTGS2|CCND1|FOS|IL13|IL1A|CXCL10|IRAK1|IRAK4|SIRT1|SMAD2|SMAD3|TRPV4|TGFB1|STAT3|CAT|RBFOX2|COLQ|CDC37|HSP90AA1|RAF1|RIPK1|CSNK2A2|IL2|STAT1|LEP|SPOCK1|CYP2E1|CYP2C9|CYP2C8|CYP3A4|CYP1A2
2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	TOP1|LPCAT1|LPCAT2|MMP2|TP53|MMP1|XDH|JUN|ICAM1|PTGES|INSR|CASP9|NFKBIA|ABCG2|MDM2|MAOA|HDAC9|IFNG|NFE2L2|GAK|MAPK1|HMOX1|ERBB2|MET|MAPK3|TOP2A|MIR384|ABCC2|XIAP|IL6|NOS2|SLC2A4|ZHX2|BCL2|FASN|HSP90AA1|ERG|EGFR|SIRT3|IL10|PTN|VEGFA|MAPK14|TYR|AURKB|ADORA2A|ANO1|TNF|PARP1|NFKB1|SMAD3|MTOR|CASP3|CDK2|IL17A|MAPK8|CDK9|MIR203A|CDK4|AKT1|VRK1|BCL2L1|ACHE|FLT3|MCL1|CCNB1|TERT|CDKN1A|ESR1|HMGB1|MMP9|SRC|PRKCE|IL4|PTGS2|CLDN2|CCND1|TBK1|ADORA1|MIR132|GSTK1|NOX4|MYLK3
7-hydroxy-3-(3-hydroxy-4-methoxyphenyl)chromen-4-one	PPARG|ABCB1|HIF1A|SMAD2|PTGR1|SMAD3|TGFB1|PCNA|BAX|BATF2|AKT1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|STAT3|SERPINE1|PIK3R1|SRC|EGFR|MAPK3|MAPK1|WDR7|GPER1|NQO1|CXCL8|IL25|Il33|KEAP1|SQSTM1|GABPA|HMOX1|IL6|NFE2L2|IL1B|ESR1|AGT|COL11A2|BCL2|CASP3|SNAI2|VIM
(9Z,12Z)-octadeca-9,12-dienoic acid	NPPA|POMC|NFATC4|PLA2G7|SCD|JUN|NPPB|PPARA|ICAM1|CCL2|LCN2|FOS|NFKB1|BCL2
(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol	KCNH1|PPARG|BRCA1|EDNRB|CAMP|ERBB4|IER3|CD46|NFKB1|ESR1|CYP3A4|NFKBIA|SLC20A2|GGT1|AHR|CYP27B1|BAX|VDR|KDM6B|PODXL|KLK5|TLR4|AGER|TRPV6|CTLA4|NT5E|TGFB1|FGFR1|RUNX2|CD200|CYP24A1|FGF23|PLD1|REN|ALOX5
5-[(E)-2-phenylethenyl]benzene-1,3-diol	CASP3
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one	RPS6KA3|MAPK1|AKT1|CDH1
7-hydroxy-6-methoxychromen-2-one	CREB1|NQO1|MAPK1|NFKB1|MAOB|CYP2E1|SREBF1|PRKAA1|PRKAA2|CAT
1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene	MMP2|MMP1|RXRA|CYP1A2|CEBPA|MMP10|CASP9|CASP3|CYP3A4|CASP8|CAV1|BCL2|F3|AKT1|VEGFA|HMOX1|MYC|CASP7|PTGS2|CTNNB1|GJA1|ALB
[(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenyl] hexadecanoate	RARA|RARB|RARG
(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enal	HSF1|HSPA4|HSPB1|HSPB2|DNTT|HSPA1B
3,5,7,8-tetrahydroxy-2-(4-hydroxyphenyl)chromen-4-one	SLC25A21|AKT1
7,8-dihydroxychromen-2-one	DNMT3A|NLRP3|HMOX1|NFE2L2|MAPK1|MAPK8|BAX|BCL2|CRYZ|KEAP1|CASP3
(8Z,11Z,14Z)-icosa-8,11,14-trienoic acid	PTGS1
5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one	CCNB1|CYP1B1|CYP1A1|MET|KDR|VTN|ACE2
7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]heptanoic acid	PTGER1|PTGER2|TBXA2R|TGFB1|P2RY1|PTEN|MIR21
(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol	CACNA1H|CACNA1A|CACNA2D4|CACNA1C|CACNA2D3|CACNG1|CACNG3|CACNB4|CACNA1E|CACNB2|CACNA1D|CACNG6|CACNG4|CACNA2D2|CACNA1S|CACNA1I|CACNA1G|CACNB3|CACNG2|CACNG5|VDR|CACNG8|CACNG7|CACNB1|CACNA1F|CACNA1B|CACNA2D1
(3S,8S,9S,10R,13R,14S,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	BACE1|APP|ABCC2|ABCG5|ABCG8|ABCB11|NR1H4|NR1H3|NR1H2|TLR4|AKT1
(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol	VDR|CD40|MMP2|MAPK3|RXRA|PTH|CAMP|CD55|CAMKK2|CASR|TGFA|NFKB1|RELA|SMO|CD14|NFKBIA|CCR6|IL6|TXN|CYP27B1|TLR2|CD83|CD86|MMP9|CSRP1|DHCR7|TNFSF11|TLR4|AKT1|DBP|GLI1|S100G|IL4|IGFBP3|IL10|FOXP3|MAPK1|PRL|TNFRSF11B|DYSF|AR|IGF1|PTGS2|CXCL8|CYP11A1|GJA1|CYP24A1|CD80|REN|CYP19A1|TG|CCR7
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	P4HB|PRKAA1|CYP1A1|PPARG
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one	AKR1C3|CBR1|CAT|PPARG|IL1B|TNF|INS|MTOR|CASP3|ACTA2|IL6|FAS|PROCR|HMGCR|MAPK8|BCL2|NR1H4|MPO|BACE1|P4HB|FN1|ADA|MAPK14|SIRT1|TGFB1|MARK4|TFAM|UCP1|PPARGC1A|CXCL1|S100A8|STAT4|IFNG
3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one	MMP1|PPARG|SELE|XDH|ESRRA|CYP1A2|BIRC3|JUN|ICAM1|TNF|NFKB1|CASP3|NR1I3|NFKBIA|CDK1|GSTM1|DIO1|TJP1|NOS2|AHR|GSTM2|BAX|MCU|MAPK8|PLEK|BCL2|MMP9|CYP1B1|NSFL1C|BMPR2|VCAM1|FOXP3|NR1I2|HMOX1|MAPK14|MIR21|PTGS2|CXCL8|CLDN2|CYP1A1|STAT1|RPS6KA3|BIRC2|BTK|LYN|AKT1|ITPR3|SYK|PARK7|CAT|SLCO1B1|NOX4|MYLK3|TXN|GPER1|CYP3A4|STAT3|HSP90AA1|CDK2|NFE2L2
(5S,6R,7E,9E,11Z,14Z)-6-[(2R)-2-amino-3-(carboxymethylamino)-3-oxopropyl]sulfanyl-5-hydroxyicosa-7,9,11,14-tetraenoic acid	GLB1|CYSLTR1
(Z)-7-[(1R,2S)-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopent-3-en-1-yl]hept-5-enoic acid	NR4A1
(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid	DEGS1|ACE|BIN2|PPARG|VCAM1|CRABP2|PPARA|LANCL2|PSMB6|NR1I2
(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol	VEGFA
(6Z,9Z,12Z)-octadeca-6,9,12-trienoic acid	FASN|PPARG|CNP|MBP|OCLN|TNF|CASP3
(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid	ELOVL2|FADS1|NR1H4|PPARA|FADS2|ELOVL5|PPARD|TRPV1|RXRA|SLC8A1|PPARG|SCARB1|FASN|UCP2|ACHE|GCG|PTGS2|HNF4A|CASP3|HNF1A
7-methoxy-1-methyl-9H-pyrido[3,4-b]indole	DYRK1A|NFATC1|MAOA|CDKL5
methyl (1R,15S,17R,18R,19S,20S)-6,18-dimethoxy-17-[(E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]oxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate	SLC33A1
5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one	TP53|TIMP1|CYCS|HSD11B1|SLC9A2|JUN|ICAM1|CCL2|CASP9|PECAM1|ABCG2|NOS3|MDM2|NCOR1|BAX|UGT1A1|HMGCR|PBK|HDAC9|MAPK1|APOA1|ERBB2|CDKN2A|MIR29B1|GFAP|TRPC5|MAPK3|GLB1|PPARG|MAP2K5|KIF20A|CHEK2|PTEN|RELA|PML|H6PD|CDK1|NOS2|FGFR4|MDC1|PLK1|BCL2|FASN|HIF1A|EGFR|DFFA|VEGFA|BUB1|GCK|RUNX2|ZBTB16|CRYAB|SLC26A6|STAT1|IGF1R|TNF|CFTR|NFKB1|CASP3|SLC9A1|BHLHE40|CDC20|SYK|RAF1|ATM|SLC4A4|MAP2K7|TNFSF11|AKT1|SLC9A3|STAT3|VCAM1|PTK2B|FN1|DNMT3B|TGFB1|DNMT1|LDLR|HDAC6|SLC6A3|CXCL8|BMP2|CCNB1|MAP2K4|CYP2A6|SELE|CYP1A2|IL1B|CDKN1A|ESR1|TGFB2|ESR2|CCNA2|BIRC7|MMP9|SRC|CDC25C|PRKDC|PPARA|TNFRSF11B|AKR1B1|AR|GSTP1|PTGS2|GJA1|APEX1|FOS|HMOX1|CYP2C9|CYP2C8|CYP3A4
octadecanoic acid	PPARA|PLA2G2D|CDK1|CPT1B|PTPN1|ABCB1|HDAC6|MAPK1|ENPP7
5,7,11,18,22,24-hexahydroxy-13,16-dimethyloctacyclo[13.11.1.12,10.03,8.04,25.019,27.021,26.014,28]octacosa-1(27),2(28),3,5,7,10,12,14,16,18,21,23,25-tridecaene-9,20-dione	NFKBIA|MMP1|GSR|NFKB1|RELA
(Z)-docos-13-enoic acid	AKT1
(3R,9Z)-heptadeca-1,9-dien-4,6-diyn-3-ol	CNR1|MAP1B|CHRM1
